STATE,BUSINESS UNIT,FEEDER NAME,NON-MD SERVICE BAND,CAP (kWh),COMPANY / SOURCE
LAGOS,ABULE-EGBA BU,11-ABULE IROKOINJ-T1-ABULE IROKO,C,244,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-ABULE IROKOINJ-T1-ALAKUKO,C,340,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-ABULE IROKOINJ-T1-BOOKS,C,345,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-AGEGEINJ-T1-IJU ROAD,C,570,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-AGEGEINJ-T1-OKO OBA,B,556,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-AKUTE INJ-T1-ISHASHI,C,300,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-AKUTE INJ-T1-OYEYEMI,C,317,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-BECKLEYINJ-T1-AGBE ROAD,B,426,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-BECKLEYINJ-T1-BECKLEY,B,664,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-BOLORUNPELUINJ-T3-GOVERNOR,B,594,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-IJAIYE OJOKOROINJ-T1-ABEOKUTA EXPRESS,C,304,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-IJAIYE OJOKOROINJ-T1-JANKARA,B,429,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-IJAIYE OJOKOROINJ-T2-AGBADO 2,C,332,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
LAGOS,ABULE-EGBA BU,11-IJUINJ-T1-AJUWON,A,676,Ikeja Electricity Distribution Plc (Lagos Feeders) - May 2026
